main_rc_zombie_arm_v07.py starting

Received: 0000WHOU

Sending: 0000OKOKPICOR
Received: 0001SBUS

Sending: 0001BADC
Received: 0002SBUS

Sending: 0002BADC
Received: 0003SBUS

Sending: 0003BADC
Received: 0004SBUS

Sending: 0004BADC
Received: 0005SBUS

Sending: 0005BADC
Received: 0006SBUS

Sending: 0006BADC
Received: 0007SBUS

Sending: 0007BADC
Received: 0008SBUS

Sending: 0008BADC
Received: 0009SBUS

Sending: 0009BADC
Received: 0010SBUS

Sending: 0010BADC
Received: 0011SBUS

Sending: 0011BADC
Received: 0012SBUS

Sending: 0012BADC
Received: 0013SBUS

Sending: 0013BADC
Received: 0014SBUS

Sending: 0014BADC
Received: 0015SBUS

Sending: 0015BADC
Received: 0016SBUS

Sending: 0016BADC
Received: 0017SBUS

Sending: 0017BADC
Received: 0018SBUS

Sending: 0018BADC
Received: 0019SBUS

Sending: 0019BADC
Received: 0020SBUS

Sending: 0020BADC
Received: 0021SBUS

Sending: 0021BADC
Received: 0022SBUS

Sending: 0022BADC
Received: 0023SBUS

Sending: 0023BADC
Received: 0024SBUS

Sending: 0024BADC
Received: 0025SBUS

Sending: 0025BADC
Received: 0026SBUS

Sending: 0026BADC
Received: 0027SBUS

Sending: 0027BADC
Received: 0028SBUS

Sending: 0028BADC
Received: 0029SBUS

Sending: 0029BADC
Received: 0030SBUS

Sending: 0030BADC
Received: 0031SBUS

Sending: 0031BADC
Received: 0032SBUS

Sending: 0032BADC
Received: 0033SBUS

Sending: 0033BADC
Received: 0034SBUS

Sending: 0034BADC
Received: 0035SBUS

Sending: 0035BADC
Received: 0036SBUS

Sending: 0036BADC
Received: 0037SBUS

Sending: 0037BADC
Received: 0038SBUS

Sending: 0038BADC
Received: 0039SBUS

Sending: 0039BADC
Received: 0040SBUS

Sending: 0040BADC
Received: 0041SBUS

Sending: 0041BADC
Received: 0042SBUS

Sending: 0042BADC
Received: 0043SBUS

Sending: 0043BADC
Received: 0044SBUS

Sending: 0044BADC
Received: 0045SBUS

Sending: 0045BADC
Received: 0046SBUS

Sending: 0046BADC
Received: 0047SBUS

Sending: 0047BADC
Received: 0048SBUS

Sending: 0048BADC
Received: 0049SBUS

Sending: 0049BADC
Received: 0050SBUS

Sending: 0050BADC
Received: 0051SBUS

Sending: 0051BADC
Received: 0052SBUS

Sending: 0052BADC
Received: 0053SBUS

Sending: 0053BADC
Received: 0054SBUS

Sending: 0054BADC
Received: 0055SBUS

Sending: 0055BADC
Received: 0056SBUS

Sending: 0056BADC
Received: 0057SBUS

Sending: 0057BADC
Received: 0058SBUS

Sending: 0058BADC
Received: 0059SBUS

Sending: 0059BADC
Received: 0060SBUS

Sending: 0060BADC
Received: 0061SBUS

Sending: 0061BADC
Received: 0062SBUS

Sending: 0062BADC
Received: 0063SBUS

Sending: 0063BADC
Received: 0064SBUS

Sending: 0064BADC
Received: 0065SBUS

Sending: 0065BADC
Received: 0066SBUS

Sending: 0066BADC
Received: 0067SBUS

Sending: 0067BADC
Received: 0068SBUS

Sending: 0068BADC
Received: 0069SBUS

Sending: 0069BADC
Received: 0070SBUS

Sending: 0070BADC
Received: 0071SBUS

Sending: 0071BADC
Received: 0072SBUS

Sending: 0072BADC
Received: 0073SBUS

Sending: 0073BADC
Received: 0074SBUS

Sending: 0074BADC
Received: 0075SBUS

Sending: 0075BADC
Received: 0076SBUS

Sending: 0076BADC
Received: 0077SBUS

Sending: 0077BADC
Received: 0078SBUS

Sending: 0078BADC
Received: 0079SBUS

Sending: 0079BADC
Received: 0080SBUS

Sending: 0080BADC
Received: 0081SBUS

Sending: 0081BADC
Received: 0082SBUS

Sending: 0082BADC
Received: 0083SBUS

Sending: 0083BADC
Received: 0084SBUS

Sending: 0084BADC
Received: 0085SBUS

Sending: 0085BADC
Received: 0086SBUS

Sending: 0086BADC
Received: 0087SBUS

Sending: 0087BADC
Received: 0088SBUS

Sending: 0088BADC
Received: 0089SBUS

Sending: 0089BADC
Received: 0090SBUS

Sending: 0090BADC
Received: 0091SBUS

Sending: 0091BADC
Received: 0092SBUS

Sending: 0092BADC
Received: 0093SBUS

Sending: 0093BADC
Received: 0094SBUS

Sending: 0094BADC
Received: 0095SBUS

Sending: 0095BADC
Received: 0096SBUS

Sending: 0096BADC
Received: 0097SBUS

Sending: 0097BADC
Received: 0098SBUS

Sending: 0098BADC
Received: 0099SBUS

Sending: 0099BADC
Received: 0100SBUS

Sending: 0100BADC
Received: 0101SBUS

Sending: 0101BADC
Received: 0102SBUS

Sending: 0102BADC
Received: 0103SBUS

Sending: 0103BADC
Received: 0104SBUS

Sending: 0104BADC
Received: 0105SBUS

Sending: 0105BADC
Received: 0106SBUS

Sending: 0106BADC
Received: 0107SBUS

Sending: 0107BADC
Received: 0108SBUS

Sending: 0108BADC
Received: 0109SBUS

Sending: 0109BADC
Received: 0110SBUS

Sending: 0110BADC
Received: 0111SBUS

Sending: 0111BADC
Received: 0112SBUS

Sending: 0112BADC
Received: 0113SBUS

Sending: 0113BADC
Received: 0114SBUS

Sending: 0114BADC
Received: 0115SBUS

Sending: 0115BADC
Received: 0116SBUS

Sending: 0116BADC
Received: 0117SBUS

Sending: 0117BADC
Received: 0118SBUS

Sending: 0118BADC
Received: 0119SBUS

Sending: 0119BADC
Received: 0120SBUS

Sending: 0120BADC
Received: 0121SBUS

Sending: 0121BADC
Received: 0122SBUS

Sending: 0122BADC
Received: 0123SBUS

Sending: 0123BADC
Received: 0124SBUS

Sending: 0124BADC
Received: 0125SBUS

Sending: 0125BADC
Received: 0126SBUS

Sending: 0126BADC
Received: 0127SBUS

